N°;NOMBRE;NUMERO;FECHA;AÑO;TEMA;ESTADO;ESCANEADA
45;REGISTRO UNICO DE CONTRIBUYENTES;GAC.1202;18/9/2020;2020;CONTRUBUYENTES;VIGENTE;X
46;REGULACION PARA LA PRESTACION DE LOS SERVICIOS DE AGUAY SANEAMIENTO;GAC.1208;30/9/2020;2020;AGUA POTABLE;VIGENTE;FALTANDO
47;IMPUESTOS SOBRE VEHICULOS;GAC.1227;16/11/2020;2020;IMPUESTOS;;
48;CREACION DE INSTITUTO DE DEPORTE;GAC.1240;22/12/2020;2020;DEPORTE;VIGENTE;X
49;ASEO URBANO,RURAL Y DOMICILIARIO;GAC.1246;12/1/2021;2021;ASEO URBANO;;
50;INCLUSION A LA PRIMERA EXPERIENCIA LABORAL DE LA JUVENTUD;GAC.1291;29/4/2021;2021;LABORAL;VIGENTE;X
51;REVISION Y RECARGOS DE MULTAS E IMPUESTOS DE ACTIVIDADES ECONOMICAS DE INDUSTRIA;GAC.1292;29/4/2021;2021;ECONOMICA;;
52;REGIMEN PARLAMENTARIO DEL MUNICIPIO MANEIRO;GAC.1304;28/5/2021;2021;REGIMEN PARLAMENTARIO;VIGENTE;X
53;REVISION Y RECARGOS DE MULTAS E IMPUESTOS DE ACTIVIDADES ECONOMICAS DE INDUSTRIA;GAC.1306;2/6/2021;2021;ECONOMICA;VIGENTE;X
54;REVISION, RECARGA,MULTA E INTERESES PROVENIENTES DEL PAGO DE IMPUESTO;GAC.1323;1/7/2021;2021;IMPUESTOS;;
55;IMPUESTOS SOBRE INMUEBLES URBANOS;GAC.1326;12/1/2021;2021;IMPUESTOS;;
56;REVISION DE RECARGAS Y MULTAS PROVENIENTES DE PAGO DE IMPUESTO;CAG.1345;23/8/2021;2021;IMPUESTOS;VIGENTE;FALTANDO
57;REVISION DE RECARGAS Y MULTAS PROVENIENTES DE PAGO DE IMPUESTO;GAC.1365;25/10/2021;2021;IMPUESTOS;VIGENTE;FALTANDO
58;CREACION DEL SERVICIO DE ADMINISTRACION TRIBUTARIA SEDEMADRI;GAC.1392;28/12/2021;2021;IMPUESTOS;VIGENTE;X
59;PODA,TALA,REPOBLACION Y TRANSPLANTE DE ARBOLES;GAC.1414;1/2/2022;2022;AMBIENTE;VIGENTE;x
60;ORDEN MUNICIPAL ( JOVEN EJEMPLAR);GAC.1421;22/2/2022;2022;ORDEN MUNICIPAL;VIGENTE;FALTANDO
61;PRESUPUESTO ANUEL DE INGRESO Y GASTOS 2022;GAC.1436;5/4/2022;2022;PRESUPUESTO;VIGENTE;x
62;IMPUESTOS SOBRE ACTIVIDADES ECONOMICAS INDUSTRIA,COMERCIO Y SERVICIOS DE INDOLE SIMIOLAR;GAC.1551;9/2/2023;2023;IMPUESTOS;;
63;CREACION Y CONDECORACION DE ORDEN SOBRE PAZ  LECH WALESKA;GAC.1581;2/5/2023;2023;ORDEN MUNICIPAL;VIGENTE;X
64;"ORDEN EN HONOR A CULTURA E IDENTIDAD ""JESUS AVILA""";GAC.1629;23/8/2023;2023;ORDEN MUNICIPAL;VIGENTE;X
65;REVISION DE PAGO DE IMPUESTO SOBRE VEHICULOS;GAC.1655;2/11/2023;2023;IMPUESTOS;;
66;PROPAGANDA Y PUBLICIDAD COMERCIAL;GAC.1668;30/11/2023;2023;PROPAGANDA;;
67;IMPUESTOS SOBRE ESPACION PUBLICOS;GAC.1669;30/11/2023;2023;ESPACIOS PUBLICOS;;
